Algorithms,SSIM,PSSIM
memory,215,249
memory,286,293
memory,241,273
memory,225,275
memory,211,242
memory,872,1305
memory,1301,1343
memory,1370,1357
memory,1433,1403
memory,1363,1393
memory,613.66,713.66
memory,874.84,1097.94
memory,943.91,1361.55
memory,1087.19,1408.57
memory,1122.65,1353.3
memory,652.76,738.76
memory,656.89,749.89
memory,638.74,752.74
memory,636.76,756.76
memory,749.16,836.16
memory,1290.36,1326.6
memory,1373.19,1571.43
memory,1190.36,1290.36
memory,1473.19,1689.54
memory,1589.54,1694.79
memory,1486,1504
memory,1107,1506
memory,1345,1477
memory,1107,1435
memory,986,1414
memory,419,619
memory,420,620
memory,378,678
memory,411,760
memory,224,789
memory,184,234
memory,541,793
memory,555,670
memory,609,702
memory,633,638
