Algorithms,SSIM,PSSIM
memory,313,640
memory,283,507
memory,292,473
memory,330,371
memory,273,377
memory,1432,1458
memory,1364,1352
memory,1402,1323
memory,1381,1311
memory,1423,1310
memory,1080.27,1088.34
memory,513.24,708.08
memory,506.34,525.01
memory,317.05,334.88
memory,254.32,282.68
memory,425.52,430.81
memory,476.96,586.13
memory,420.24,479.096
memory,400.26,458.9
memory,595.98,683.41
memory,1288.94,1411.76
memory,1064.73,1264.73
memory,1264.73,1288.94
memory,1166.58,1266.58
memory,1266.58,1457.56
memory,1704,1716
memory,1523,1476
memory,1675,1399
memory,1441,1590
memory,1518,1406
memory,418,518
memory,351,451
memory,173,373
memory,132,332
memory,182,382
memory,489,590
memory,481,556
memory,519,517
memory,389,580
memory,304,534
