Algorithms,SSIM,PSSIM
memory,480,737
memory,465,513
memory,339,388
memory,286,347
memory,351,355
memory,1153,1482
memory,1128,1477
memory,565,641
memory,648,783
memory,583,684
memory,1011,1085
memory,367,552
memory,415,505
memory,272,290
memory,305,330
memory,238,444
memory,236,510
memory,243,479
memory,253,512
memory,865,1012
memory,960.6,1052.49
memory,1052.49,1260.6
memory,1263.04,1361.05
memory,1230.09,1263.04
memory,1263.04,1299.8
memory,1208,1662
memory,1094,1375
memory,1429,1403
memory,1212,926
memory,337,622
memory,660,760
memory,610,710
memory,410,610
memory,363,663
memory,341,641
memory,489,695
memory,528,579
memory,407,606
memory,574,620
memory,504,613
