Algorithms,SSIM,PSSIM
time,4.514,7.191
time,9.855,15.603
time,11.228,17.824
time,12.099,19.292
time,13.834,22.15
time,1.424,1.611
time,1.784,2.146
time,2.13,2.507
time,2.685,3.127
time,2.912,3.505
time,10.898,11.016
time,10.949,11.08
time,10.959,11.521
time,11.839,12.076
time,12.579,12.828
time,11.79,13.79
time,13.939,15.939
time,15.764,19.764
time,17.744,22.744
time,19.029,36.029
time,15.21,15.773
time,15.773,16.796
time,16.796,20.682
time,20.682,24.133
time,24.133,31.568
time,37.169,39.627
time,76.311,82.382
time,94.99,103.367
time,114.667,122.402
time,128.988,143.018
time,3.85,7
time,17.707,31.349
time,83.6,155.239
time,89.502,165.367
time,90.161,166.462
time,0.057,0.061
time,5.951,6.969
time,37.694,44.087
time,123.071,144.724
time,190.684,225.335
