Algorithms,SSIM,PSSIM
time,16.447,26.843
time,15.165,23.883
time,13.823,21.789
time,12.564,20.009
time,11.337,18.396
time,5.944,6.527
time,4.002,4.633
time,3.134,3.611
time,2.656,3.003
time,2.26,2.51
time,70.635,99.385
time,67.332,96.857
time,66.03,94.922
time,64.383,88.738
time,64.376,79.341
time,24.748,31.637
time,21.637,24.574
time,21.516,23.483
time,20.04,22.483
time,18.722,19.266
time,28.469,30.242
time,24.458,28.469
time,22.17,24.458
time,20.547,22.17
time,19.931,20.547
time,89.743,93.371
time,55.348,59.184
time,30.048,32
time,15.178,16.378
time,7.868,8.367
time,101.635,188.33
time,60.223,110.899
time,35.031,63.54
time,21.281,38.852
time,13.06,23.846
time,22.442,26.177
time,11.667,13.679
time,5.964,7
time,2.736,3.19
time,0.623,0.79
