Algorithms,SSIM,PSSIM
time,13.254,21.177
time,10.087,17.094
time,8.17,13.785
time,6.71,11.083
time,5.673,9.312
time,6.088,8.061
time,2.89,3.448
time,1.926,2.28
time,1.61,1.819
time,1.338,1.404
time,62,70
time,45,61
time,32,40
time,20,25
time,9,12
time,171,265
time,124,180
time,66,86
time,28,39
time,15,21
time,25.825,30.548
time,23.827,25.825
time,20.848,23.827
time,18.44,20.848
time,18.23,18.44
time,14.295,15.222
time,4.319,4.885
time,2.337,2.636
time,1.834,1.865
time,1.631,1.886
time,101.576,184.97
time,4.55,7.78
time,1.81,2.932
time,1.138,1.84
time,0.917,1.385
time,22.54,28.391
time,17.112,19.881
time,12.254,14.114
time,8.994,10.375
time,6.531,7.59
